Libro en español,Autor,Idioma original,Primera edición,Ventas aproximadas,Nombre en Ingles u otro idioma
Ciudad de hueso,Cassandra Clare,Inglés,2007,20 millones,The Mortal Instruments: City of Bones
Donde viven los monstruos,Maurice Sendak,inglés,1963,19 millones,Where The Wild Things Are
El secreto,Rhonda Byrne,Inglés,2006,19 millones,The Secret
Miedo a volar,Erica Jong,Inglés,1973,18 millones,Fear of Flying
"Buenas noches, Luna",Margaret Wise Brown,Inglés,1947,16 millones,Goodnight Moon
Adivina cuánto te quiero,"Sam McBratney, ilustrado por Anita Jeram",Inglés,1994,15 millones,Guess How Much I Love You
Los siete hábitos de las personas altamente efectivas,Stephen R. Covey,Inglés,1989,15 millones,The 7 Habits of Highly Effective People
Shōgun,James Clavell,Inglés,1975,15 millones,Shōgun
El pequeño perrito Poky,Janette Sebring Lowrey,Inglés,1942,15 millones,The Poky Little Puppy
Los pilares de la Tierra,Ken Follett,Inglés,1989,15 millones,The Pillars of the Earth
Cómo ganar amigos e influir sobre las personas,Dale Carnegie,Inglés,1936,15 millones,How to Win Friends and Influence People
El perfume o El perfume: historia de un asesino,Patrick Süskind,Alemán,1985,15 millones,"Das Parfum, die Geschichte eines Mörders"
El hombre que susurraba al oído de los caballos,Nicholas Evans,Inglés,1995,15 millones,The Horse Whisperer
La sombra del viento,Carlos Ruiz Zafón,Español,2001,15 millones,-
La cabaña,William P. Young,Inglés,2007,15 millones,The Shack
En llamas,Suzanne Collins,Inglés,2009,Más de 14 millones,Catching Fire
Guía del autoestopista galáctico o Guía del viajero galáctico,Douglas Adams,Inglés,1979,14 millones,The Hitchhiker's Guide to the Galaxy
Martes con mi viejo profesor,Mitch Albom,Inglés,1997,14 millones,Tuesdays with Morrie
La parcela de Dios,Erskine Caldwell,Inglés,1933,14 millones,God's Little Acre
Donde el corazón te lleve,Susanna Tamaro,Italiano,1994,14 millones,Va' dove ti porta il cuore
Sinsajo,Suzanne Collins,Inglés,2010,Más de 13 millones,Mockingjay
Rebeldes,Susan E. Hinton,Inglés,1967,13 millones,The Outsiders
Charlie y la fábrica de chocolate,Roald Dahl,Inglés,1964,13 millones,Charlie and the Chocolate Factory
Tokio blues,Haruki Murakami,Japonés,1987,Más de 12 millones,"ノルウェイの森, Noruwei no Mori"
Peyton Place,Grace Metalious,Inglés,1956,12 millones,Peyton Place
Dune,Frank Herbert,Inglés,1965,12 millones,Dune
La peste,Albert Camus,Francés,1947,12 millones,La Peste
Indigno de ser humano,Osamu Dazai,Japonés,1948,12 millones,"人間失格, Ningen shikkaku"
El mono desnudo,Desmond Morris,Inglés,1968,12 millones,The Naked Ape
Los puentes de Madison,Robert James Waller,Inglés,1992,12 millones,The Bridges of Madison County
Todo se desmorona,Chinua Achebe,Inglés,1958,11 millones,Things Fall Apart
El profeta,Khalil Gibran,Inglés,1923,11 millones,The Prophet
El exorcista,William Peter Blatty,Inglés,1971,11 millones,The Exorcist
El grúfalo,"Julia Donaldson, ilustrado por Axel Scheffler",Inglés,1999,"10,5 millones",The Gruffalo
Trampa 22,Joseph Heller,Inglés,1961,10 millones,Catch-22
La isla de las tormentas,Ken Follett,Inglés,1978,10 millones,Storm Island o Eye of the Needle
Historia del tiempo o Breve historia del tiempo o Historia del tiempo: del Big Bang a los agujeros negros,Stephen Hawking,Inglés,1988,10 millones,A Brief History of Time: From the Big Bang to Black Holes
"El gato con sombrero, El gato en el sombrero o El gato garabato",Dr. Seuss,Inglés,1957,10 millones,The Cat in the Hat
Desde mi cielo,Alice Sebold,Inglés,2002,10 millones,The Lovely Bones
Cisnes salvajes,Jung Chang,Inglés,1992,10 millones,Wild Swans
Santa Evita,Tomás Eloy Martínez,Español,1995,10 millones,-
La noche,Elie Wiesel,Yidis,1958,10 millones,Un di Velt Hot Geshvign
Cometas en el cielo,Khaled Hosseini,Inglés,2003,10 millones,The Kite Runner
Observaciones de Yu Dan sobre las Analectas de Confucio,Yu Dan,Chino,2006,10 millones,"于丹《论语》心得 ,"
La mujer total,Marabel Morgan,Inglés,1974,10 millones,The Total Woman
"Historia del futuro, la sociedad del conocimiento",Taichi Sakaiya,Japonés,1985,10 millones,"知価革命 ,"
Problemas de la economía socialista de China,Xue Muqiao,Chino,1979,10 millones,"中国社会主义经济问题研究 ,"
¿De qué color es su paracaídas?,Richard Nelson Bolles,Inglés,1970,10 millones,What Color is Your Parachute?
